# angle_deg bandwidth_meV
2.999999999999999889e-01 5.362653118301186339e+01
3.666666666666666963e-01 5.763235626346842366e+01
4.333333333333333481e-01 6.163812930578245641e+01
5.000000000000000000e-01 6.564383163669977250e+01
5.666666666666666519e-01 6.964943850513716939e+01
6.333333333333333037e-01 7.365491615967286521e+01
7.000000000000000666e-01 7.766021706054553420e+01
7.666666666666668295e-01 8.166527167182307778e+01
8.333333333333334814e-01 8.566997359974035930e+01
9.000000000000000222e-01 8.967415080340440170e+01
9.000000000000000222e-01 8.967415080340440170e+01
9.157894736842105976e-01 9.062240313031306016e+01
9.315789473684210620e-01 9.157060487569286522e+01
9.473684210526316374e-01 9.251874964712082772e+01
9.631578947368421018e-01 9.346682994531049360e+01
9.789473684210526772e-01 9.441483691308458503e+01
9.947368421052631415e-01 9.536276001282395498e+01
1.010526315789473717e+00 9.631058660744577082e+01
1.026315789473684292e+00 9.725830140950557734e+01
1.042105263157894646e+00 9.820588574736137844e+01
1.057894736842105221e+00 9.915331657343097049e+01
1.073684210526315796e+00 1.001005651023242251e+02
1.089473684210526372e+00 1.010475949071830115e+02
1.105263157894736725e+00 1.019943592052374299e+02
1.121052631578947301e+00 1.029407968995325717e+02
1.136842105263157876e+00 1.038868266580896034e+02
1.152631578947368451e+00 1.048323377954367572e+02
1.168421052631579027e+00 1.057771757477728016e+02
1.184210526315789380e+00 1.067211180042623084e+02
1.199999999999999956e+00 1.076638323093034160e+02
1.199999999999999956e+00 1.076638323093034160e+02
1.292857142857142705e+00 1.130976957857544818e+02
1.385714285714285676e+00 1.143310308258280941e+02
1.478571428571428648e+00 1.142697039432730435e+02
1.571428571428571397e+00 1.142051120410597207e+02
1.664285714285714146e+00 1.141334540863379488e+02
1.757142857142857117e+00 1.140733949859257450e+02
1.850000000000000089e+00 1.140086968674059449e+02
1.942857142857142838e+00 1.167314993058138839e+02
2.035714285714285587e+00 1.223095229379643172e+02
2.128571428571428559e+00 1.278874171396190746e+02
2.221428571428571530e+00 1.334651779956335247e+02
2.314285714285714057e+00 1.390428016167093119e+02
2.407142857142857473e+00 1.446202841361944138e+02
2.500000000000000000e+00 1.501976217073482189e+02
